ID,date,cluster_id,electricity_consumption,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
cluster_1_2014-01-01,2014-01-01,cluster_1,358.032,10.8,4.2,5.5,0.4,53.00333333333333,29787.533333333336,40.6,79.2,186.0,1.1766666666666663,0.4833333333333333
cluster_2_2014-01-01,2014-01-01,cluster_2,548.247,12.2,4.3,8.6,-0.4,8195.656666666668,30650.35,36.0,81.7,170.59111818164516,3.383333333333333,0.7366666666666667
cluster_3_2014-01-01,2014-01-01,cluster_3,758.303,12.9,-0.8,10.1,-4.9,16305.26,31547.686666666665,20.9,44.3,159.4677516059171,3.88,0.7166666666666667
cluster_4_2014-01-01,2014-01-01,cluster_4,1072.077,10.8,4.7,6.7,0.6,9224.803333333331,30769.22,34.7,82.8,184.3397530942578,3.153333333333333,0.6766666666666666
cluster_1_2014-01-02,2014-01-02,cluster_1,386.908,10.7,7.0,6.6,3.3,22372.0,29850.226666666666,34.3,75.2,210.3334650015942,3.64,0.7799999999999999
cluster_2_2014-01-02,2014-01-02,cluster_2,567.775,12.1,6.8,10.6,2.7,21813.283333333336,30708.623333333333,34.0,79.6,186.39329966703897,3.633333333333333,0.73
cluster_3_2014-01-02,2014-01-02,cluster_3,796.859,15.0,3.9,15.0,-0.0,19886.50333333333,31601.23,25.4,54.0,177.2504392640879,3.986666666666667,0.79
cluster_4_2014-01-02,2014-01-02,cluster_4,1153.619,12.5,6.6,10.3,3.1,21208.54,30826.72333333333,34.0,77.0,198.72295225010643,4.1000000000000005,0.8166666666666668
cluster_1_2014-01-03,2014-01-03,cluster_1,395.319,11.7,7.1,7.7,2.5,21906.06,29918.046666666665,35.3,73.1,210.0003047798862,3.516666666666667,1.1833333333333331
cluster_2_2014-01-03,2014-01-03,cluster_2,577.312,12.1,7.0,11.6,1.7,13631.893333333332,30771.67,34.9,70.6,190.0063527295717,2.723333333333333,0.7999999999999999
cluster_3_2014-01-03,2014-01-03,cluster_3,806.132,13.9,3.2,12.5,-0.2,18698.15333333333,31659.17333333333,20.1,42.8,171.8806573557535,3.64,0.7133333333333333
cluster_4_2014-01-03,2014-01-03,cluster_4,1176.124,12.5,5.8,8.9,2.2,16173.35,30888.943333333333,33.4,70.6,192.3738164184389,2.7466666666666666,0.6766666666666667
cluster_1_2014-01-04,2014-01-04,cluster_1,378.062,10.6,5.9,7.5,1.5,5938.093333333333,29990.93333333333,31.5,61.9,190.6908462568088,2.4466666666666668,0.75
cluster_2_2014-01-04,2014-01-04,cluster_2,547.73,16.1,5.4,14.3,-0.3,14308.13,30839.430000000004,37.0,82.8,184.346656330524,3.8366666666666656,0.8799999999999999
cluster_3_2014-01-04,2014-01-04,cluster_3,771.702,14.1,4.5,11.6,2.0,6627.443333333334,31721.466666666664,28.9,70.9,180.62649811802405,2.273333333333333,0.6166666666666667
cluster_4_2014-01-04,2014-01-04,cluster_4,1112.809,11.3,4.9,8.6,2.5,4012.6333333333337,30955.823333333334,22.2,50.4,179.7111455663518,2.0766666666666667,0.47
cluster_1_2014-01-05,2014-01-05,cluster_1,372.324,11.4,2.4,7.3,-1.6,13408.483333333332,30068.92333333333,29.9,58.0,200.3073002134553,2.75,0.5366666666666667
cluster_2_2014-01-05,2014-01-05,cluster_2,553.213,10.3,2.9,7.7,-0.9,17337.216666666667,30911.946666666667,31.0,57.2,229.0478377580514,3.65,0.7366666666666667
cluster_3_2014-01-05,2014-01-05,cluster_3,760.92,11.0,2.6,8.1,-0.7,16520.876666666667,31788.13666666667,29.4,60.1,250.4226814485225,4.183333333333334,0.9466666666666668
cluster_4_2014-01-05,2014-01-05,cluster_4,1107.926,9.0,2.1,6.1,-0.8,23532.14,31027.396666666667,27.3,54.7,218.3418020203997,4.07,0.57
cluster_1_2014-01-06,2014-01-06,cluster_1,414.015,13.8,8.3,9.4,3.4,6057.546666666666,30152.88666666667,37.3,70.6,205.3349908640192,1.88,1.12
cluster_2_2014-01-06,2014-01-06,cluster_2,596.538,15.1,6.6,11.7,3.5,14958.946666666665,30990.03333333333,33.4,66.2,179.5065570214465,3.73,1.0766666666666669
cluster_3_2014-01-06,2014-01-06,cluster_3,851.93,15.4,1.6,12.6,-2.3,21384.81333333333,31859.95333333333,19.9,40.0,163.52611052562594,4.783333333333334,1.15
cluster_4_2014-01-06,2014-01-06,cluster_4,1225.174,13.2,3.5,9.5,0.6,19703.516666666663,31104.476666666666,28.7,64.4,188.67137096386045,4.516666666666667,1.3733333333333333
cluster_1_2014-01-07,2014-01-07,cluster_1,416.618,12.4,8.7,8.5,3.9,20601.4,30242.84333333333,31.7,60.1,203.6666365779404,3.213333333333333,0.9666666666666668
cluster_2_2014-01-07,2014-01-07,cluster_2,592.671,15.0,8.3,11.4,3.0,17669.77666666667,31073.7,28.9,61.6,177.85516690737563,3.83,0.9266666666666667
cluster_3_2014-01-07,2014-01-07,cluster_3,843.422,15.7,7.8,14.8,4.3,22104.01,31936.92333333333,21.7,43.9,152.24759942470828,3.52,0.8466666666666667
cluster_4_2014-01-07,2014-01-07,cluster_4,1215.204,13.0,8.0,9.5,4.4,20902.393333333337,31187.076666666664,22.7,49.0,189.66892705275163,3.963333333333333,0.9233333333333332
cluster_1_2014-01-08,2014-01-08,cluster_1,411.387,12.1,8.0,10.6,5.3,10466.929999999998,30338.546666666665,28.4,63.7,199.33312629990328,3.01,0.5433333333333333
cluster_2_2014-01-08,2014-01-08,cluster_2,594.316,14.8,7.5,11.6,4.2,18873.73,31162.74,28.1,63.4,174.13851692534885,4.31,0.7300000000000001
cluster_3_2014-01-08,2014-01-08,cluster_3,823.872,16.2,6.9,14.3,4.8,25902.99,32018.84333333333,16.6,34.9,151.12720078800368,5.016666666666667,0.7866666666666666
cluster_4_2014-01-08,2014-01-08,cluster_4,1197.977,13.4,8.4,10.7,5.4,19841.463333333333,31274.97333333333,19.7,50.4,187.3382575365306,4.163333333333334,0.6966666666666668
cluster_1_2014-01-09,2014-01-09,cluster_1,419.252,11.4,6.3,8.7,2.9,7693.66,30439.77,30.2,62.6,228.3349908640192,2.1066666666666665,0.6066666666666667
